01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2023,Chéquia,,,,,,r,130807
2023,Chipre,,,,,,r,23081
2023,Croácia,,,,,,,48262
2023,Dinamarca,,,,,,,126404
2023,Eslováquia,,,,,,r,68896
2023,Eslovénia,,,,,,,43739
2023,Espanha,,,,,,r,1575378
2023,Estónia,,,,,,,7708
2023,Finlândia,,,,,,r,211539
2023,França,,,,,,r,3102542
2023,Grécia,,,,,,r,369110
2023,Hungria,,,,,,r,144043
2023,Irlanda,,,,,,r,220721
2023,Itália,,,,,,r,2869648
2023,Letónia,,,,,,,17579
2023,Lituânia,,,,,,,27558
2023,Luxemburgo,,,,,,r,20268
2023,Malta,,,,,,r,9831
2023,Países Baixos,,,,,,r,482228
2023,Polónia,,,,,,r,389732
2023,Portugal,,,,,,,261849
2023,Roménia,,,,,,r,157616
2023,Suécia,,,,,,r,177051
2024,,Portugal,,,,,,270650
2024,Alemanha,,,,,,,2688879
2024,Áustria,,,,,,,394131
2024,Bélgica,,,,,,,642875
2024,Bulgária,,,,,,,24975
2024,Chéquia,,,,,,,138650
2024,Chipre,,,,,,,21828
2024,Croácia,,,,,,,49283
2024,Dinamarca,,,,,,,123439
2024,Eslováquia,,,,,,,77648
2024,Eslovénia,,,,,,,44895
2024,Espanha,,,,,,,1620602
2024,Estónia,,,,,,,9327
2024,Finlândia,,,,,,,226701
2024,França,,,,,,,3305287
2024,Grécia,,,,,,,364885
2024,Hungria,,,,,,,145558
2024,Irlanda,,,,,,,218178
2024,Itália,,,,,,,2966597
2024,Letónia,,,,,,,18800
2024,Lituânia,,,,,,,29972
2024,Luxemburgo,,,,,,,22654
2024,Malta,,,,,,,10648
2024,Países Baixos,,,,,,,491585
2024,Polónia,,,,,,,470606
2024,Portugal,,,,,,,270723
2024,Roménia,,,,,,,193784
2024,Suécia,,,,,,,188410
,,,,,,,,
,Indicador: Dívida pública,,,,,,,
,Ultima atualização: 24.04.2025 08:56:51,,,,,,,
,Fonte: Base de dados do Banco de Portugal | Base de dados do Eurostat,,,,,,,
